Team,IncidentNumber,OpenTime,CloseTime,ResolvedBy,DurationHours
Team 7,INC1000,2025-05-04 20:00:00,2025-05-04 22:01:35.346155,Team 7_Member_4,2.0264850430555557
Team 8,INC1001,2025-05-01 20:00:00,2025-05-01 21:41:46.495337,Team 8_Member_5,1.6962487047222223
Team 3,INC1002,2025-05-09 10:00:00,2025-05-10 06:06:44.311121,Team 3_Member_3,20.112308644722223
Team 4,INC1003,2025-05-07 05:00:00,2025-05-07 05:34:50.347295,Team 4_Member_3,0.5806520263888889
Team 8,INC1004,2025-05-07 13:00:00,2025-05-07 15:23:12.754509,Team 8_Member_4,2.3868762525
Team 5,INC1005,2025-05-09 11:00:00,2025-05-09 20:27:30.831206,Team 5_Member_1,9.458564223888889
Team 9,INC1006,2025-05-10 02:00:00,2025-05-10 11:27:49.351460,Team 9_Member_1,9.463708738888888
Team 10,INC1007,2025-05-08 19:00:00,2025-05-08 23:33:45.979856,Team 10_Member_4,4.562772182222223
Team 3,INC1008,2025-05-03 06:00:00,2025-05-04 22:52:55.794917,Team 3_Member_4,40.88216525472222
Team 9,INC1009,2025-05-10 12:00:00,2025-05-10 21:21:11.988743,Team 9_Member_3,9.35333020638889
Team 5,INC1010,2025-05-07 22:00:00,2025-05-07 22:08:00.734158,Team 5_Member_1,0.1335372661111111
Team 9,INC1011,2025-05-01 13:00:00,2025-05-02 05:31:23.936621,Team 9_Member_4,16.523315728055557
Team 9,INC1012,2025-05-03 04:00:00,2025-05-03 06:37:30.945032,Team 9_Member_2,2.6252625088888886
Team 7,INC1013,2025-05-01 07:00:00,2025-05-01 07:20:59.773972,Team 7_Member_4,0.3499372144444444
Team 1,INC1014,2025-05-03 01:00:00,2025-05-03 11:51:45.208748,Team 1_Member_4,10.862557985555554
Team 2,INC1015,2025-05-01 03:00:00,2025-05-01 05:02:37.989582,Team 2_Member_2,2.043885995
Team 2,INC1016,2025-05-02 19:00:00,2025-05-03 23:03:03.399094,Team 2_Member_2,28.050944192777777
Team 4,INC1017,2025-05-08 21:00:00,2025-05-09 00:56:07.155125,Team 4_Member_4,3.9353208680555554
Team 2,INC1018,2025-05-01 23:00:00,2025-05-02 03:24:44.171983,Team 2_Member_5,4.412269995277778
Team 9,INC1019,2025-05-01 14:00:00,2025-05-01 15:48:23.158539,Team 9_Member_5,1.8064329275
Team 9,INC1020,2025-05-04 15:00:00,2025-05-04 20:01:23.916086,Team 9_Member_1,5.0233100238888895
Team 8,INC1021,2025-05-04 08:00:00,2025-05-04 20:25:30.450682,Team 8_Member_3,12.425125189444445
Team 3,INC1022,2025-05-06 02:00:00,2025-05-06 02:46:09.453558,Team 3_Member_1,0.769292655
